epoch	sample	loss	
 0.0000e+00	 1.6582e+02	
 0.0000e+00	 1.6474e+02	
 0.0000e+00	 1.6325e+02	
 0.0000e+00	 1.6062e+02	
 0.0000e+00	 1.5487e+02	
 0.0000e+00	 1.4434e+02	
 0.0000e+00	 1.3045e+02	
 0.0000e+00	 1.4717e+02	
 0.0000e+00	 1.6344e+02	
 0.0000e+00	 1.5784e+02	
 0.0000e+00	 1.4971e+02	
 0.0000e+00	 1.3103e+02	
 0.0000e+00	 1.1668e+02	
 0.0000e+00	 1.3487e+02	
 0.0000e+00	 1.0931e+02	
 0.0000e+00	 9.9931e+01	
 0.0000e+00	 1.0123e+02	
 0.0000e+00	 1.0091e+02	
 0.0000e+00	 1.1090e+02	
 0.0000e+00	 1.3636e+02	
 0.0000e+00	 1.0098e+02	
 0.0000e+00	 9.2886e+01	
 0.0000e+00	 9.3534e+01	
 0.0000e+00	 9.4407e+01	
 0.0000e+00	 9.5389e+01	
 0.0000e+00	 9.3661e+01	
 0.0000e+00	 1.0332e+02	
 0.0000e+00	 9.0778e+01	
 0.0000e+00	 8.9928e+01	
 0.0000e+00	 9.1915e+01	
 0.0000e+00	 8.7478e+01	
 0.0000e+00	 8.7795e+01	
 0.0000e+00	 8.6400e+01	
 0.0000e+00	 8.8190e+01	
 0.0000e+00	 8.8787e+01	
 0.0000e+00	 8.2160e+01	
 0.0000e+00	 8.2997e+01	
 0.0000e+00	 8.6050e+01	
 0.0000e+00	 9.0100e+01	
 0.0000e+00	 8.8771e+01	
 0.0000e+00	 9.3665e+01	
 0.0000e+00	 8.5748e+01	
 0.0000e+00	 8.8086e+01	
 0.0000e+00	 8.5358e+01	
 0.0000e+00	 9.0639e+01	
 0.0000e+00	 8.2378e+01	
 0.0000e+00	 8.8864e+01	
 0.0000e+00	 8.7062e+01	
 0.0000e+00	 8.6388e+01	
 0.0000e+00	 8.5975e+01	
 0.0000e+00	 8.2070e+01	
 0.0000e+00	 7.7232e+01	
 0.0000e+00	 8.2997e+01	
 0.0000e+00	 8.4464e+01	
 0.0000e+00	 9.1767e+01	
 0.0000e+00	 9.1171e+01	
 0.0000e+00	 9.9750e+01	
 0.0000e+00	 8.3717e+01	
 0.0000e+00	 8.0379e+01	
 0.0000e+00	 8.7049e+01	
 0.0000e+00	 7.8773e+01	
 0.0000e+00	 7.9935e+01	
 0.0000e+00	 7.8009e+01	
 0.0000e+00	 7.8813e+01	
 0.0000e+00	 8.2372e+01	
 0.0000e+00	 8.3389e+01	
 0.0000e+00	 8.6748e+01	
 0.0000e+00	 8.2745e+01	
 0.0000e+00	 8.6305e+01	
 0.0000e+00	 7.7792e+01	
 0.0000e+00	 8.0282e+01	
 0.0000e+00	 8.2292e+01	
 0.0000e+00	 8.2075e+01	
 0.0000e+00	 8.2098e+01	
 0.0000e+00	 8.6265e+01	
 0.0000e+00	 8.1397e+01	
 0.0000e+00	 8.4646e+01	
 0.0000e+00	 7.8262e+01	
 0.0000e+00	 8.0157e+01	
 0.0000e+00	 8.1376e+01	
 0.0000e+00	 8.9232e+01	
 0.0000e+00	 8.0911e+01	
 0.0000e+00	 8.5903e+01	
 0.0000e+00	 8.0721e+01	
 0.0000e+00	 8.0422e+01	
 0.0000e+00	 8.3237e+01	
 0.0000e+00	 7.7344e+01	
 0.0000e+00	 7.7512e+01	
 0.0000e+00	 8.5427e+01	
 0.0000e+00	 8.0206e+01	
 0.0000e+00	 7.8048e+01	
 0.0000e+00	 7.8772e+01	
 0.0000e+00	 8.1751e+01	
 0.0000e+00	 8.3868e+01	
 0.0000e+00	 8.0798e+01	
 0.0000e+00	 8.2110e+01	
 0.0000e+00	 7.8198e+01	
 0.0000e+00	 7.9421e+01	
 0.0000e+00	 7.7277e+01	
 0.0000e+00	 8.1028e+01	
 0.0000e+00	 7.7592e+01	
 0.0000e+00	 8.0793e+01	
 0.0000e+00	 8.0801e+01	
 0.0000e+00	 7.9865e+01	
 0.0000e+00	 8.4715e+01	
 0.0000e+00	 7.9066e+01	
 0.0000e+00	 8.3002e+01	
 0.0000e+00	 8.2861e+01	
