epoch	sample	loss	
 1.0000e+00	 7.2960e+03	 6.2764e+02	
 1.0000e+00	 7.3600e+03	 6.1969e+02	
 1.0000e+00	 7.4240e+03	 6.5420e+02	
 1.0000e+00	 7.4880e+03	 6.2288e+02	
 1.0000e+00	 7.5520e+03	 6.3900e+02	
 1.0000e+00	 7.6160e+03	 6.4489e+02	
 1.0000e+00	 7.6800e+03	 6.2530e+02	
 1.0000e+00	 7.7440e+03	 6.0812e+02	
 1.0000e+00	 7.8080e+03	 6.5294e+02	
 1.0000e+00	 7.8720e+03	 6.4237e+02	
 1.0000e+00	 7.9360e+03	 6.1969e+02	
 1.0000e+00	 8.0000e+03	 6.0722e+02	
 1.0000e+00	 8.0640e+03	 6.3720e+02	
 1.0000e+00	 8.1280e+03	 6.3628e+02	
 1.0000e+00	 8.1920e+03	 6.2670e+02	
 1.0000e+00	 8.2560e+03	 6.3978e+02	
 1.0000e+00	 8.3200e+03	 6.1588e+02	
 1.0000e+00	 8.3840e+03	 6.2221e+02	
 1.0000e+00	 8.4480e+03	 6.1679e+02	
 1.0000e+00	 8.5120e+03	 6.4066e+02	
 1.0000e+00	 8.5760e+03	 6.2171e+02	
 1.0000e+00	 8.6400e+03	 6.2202e+02	
 1.0000e+00	 8.7040e+03	 6.3665e+02	
 1.0000e+00	 8.7680e+03	 6.0121e+02	
 1.0000e+00	 8.8320e+03	 6.0744e+02	
 1.0000e+00	 8.8960e+03	 6.5300e+02	
 1.0000e+00	 8.9600e+03	 6.0717e+02	
 1.0000e+00	 9.0240e+03	 6.4397e+02	
 1.0000e+00	 9.0880e+03	 6.2966e+02	
 1.0000e+00	 9.1520e+03	 6.2274e+02	
 1.0000e+00	 9.2160e+03	 6.3121e+02	
 1.0000e+00	 9.2800e+03	 6.4285e+02	
 1.0000e+00	 9.3440e+03	 6.1594e+02	
 1.0000e+00	 9.4080e+03	 6.1321e+02	
 1.0000e+00	 9.4720e+03	 6.3202e+02	
 1.0000e+00	 9.5360e+03	 6.4520e+02	
 1.0000e+00	 9.6000e+03	 6.1289e+02	
 1.0000e+00	 9.6640e+03	 6.1618e+02	
 1.0000e+00	 9.7280e+03	 6.1113e+02	
 1.0000e+00	 9.7920e+03	 6.2758e+02	
 1.0000e+00	 9.8560e+03	 6.0151e+02	
 1.0000e+00	 9.9200e+03	 5.9603e+02	
 1.0000e+00	 9.9840e+03	 6.1674e+02	
 1.0000e+00	 1.0048e+04	 6.3145e+02	
 1.0000e+00	 1.0112e+04	 6.1523e+02	
 1.0000e+00	 1.0176e+04	 6.2146e+02	
 1.0000e+00	 1.0240e+04	 6.2046e+02	
 1.0000e+00	 1.0304e+04	 6.1606e+02	
 1.0000e+00	 1.0368e+04	 6.1105e+02	
 1.0000e+00	 1.0432e+04	 6.3732e+02	
 1.0000e+00	 1.0496e+04	 6.1678e+02	
 1.0000e+00	 1.0560e+04	 6.4070e+02	
 1.0000e+00	 1.0624e+04	 6.2222e+02	
 1.0000e+00	 1.0688e+04	 5.9354e+02	
 1.0000e+00	 1.0752e+04	 6.0921e+02	
 1.0000e+00	 1.0816e+04	 6.2293e+02	
 1.0000e+00	 1.0880e+04	 6.1750e+02	
 1.0000e+00	 1.0944e+04	 6.0896e+02	
 1.0000e+00	 1.1008e+04	 6.0709e+02	
 1.0000e+00	 1.1072e+04	 6.0589e+02	
 1.0000e+00	 1.1136e+04	 6.1424e+02	
 1.0000e+00	 1.1200e+04	 6.1550e+02	
 1.0000e+00	 1.1264e+04	 6.2811e+02	
 1.0000e+00	 1.1328e+04	 6.0745e+02	
 1.0000e+00	 1.1392e+04	 6.4712e+02	
 1.0000e+00	 1.1456e+04	 6.1480e+02	
 1.0000e+00	 1.1520e+04	 6.0646e+02	
 1.0000e+00	 1.1584e+04	 5.9644e+02	
 1.0000e+00	 1.1648e+04	 5.9668e+02	
 1.0000e+00	 1.1712e+04	 5.9925e+02	
 1.0000e+00	 1.1776e+04	 6.1590e+02	
 1.0000e+00	 1.1840e+04	 5.9970e+02	
 1.0000e+00	 1.1904e+04	 5.8891e+02	
 1.0000e+00	 1.1968e+04	 6.0019e+02	
 1.0000e+00	 1.2032e+04	 6.1268e+02	
 1.0000e+00	 1.2096e+04	 5.9054e+02	
 1.0000e+00	 1.2160e+04	 5.9483e+02	
 1.0000e+00	 1.2224e+04	 6.0847e+02	
 1.0000e+00	 1.2288e+04	 6.1794e+02	
 1.0000e+00	 1.2352e+04	 6.1623e+02	
 1.0000e+00	 1.2416e+04	 6.2640e+02	
 1.0000e+00	 1.2480e+04	 6.0982e+02	
 1.0000e+00	 1.2544e+04	 6.2325e+02	
 1.0000e+00	 1.2608e+04	 6.0537e+02	
 1.0000e+00	 1.2672e+04	 6.1765e+02	
 1.0000e+00	 1.2736e+04	 6.2411e+02	
 1.0000e+00	 1.2800e+04	 6.2988e+02	
 1.0000e+00	 1.2864e+04	 6.3032e+02	
 1.0000e+00	 1.2928e+04	 6.3532e+02	
 1.0000e+00	 1.2992e+04	 5.9964e+02	
 1.0000e+00	 1.3056e+04	 6.0539e+02	
 1.0000e+00	 1.3120e+04	 6.1840e+02	
 1.0000e+00	 1.3184e+04	 6.1005e+02	
 1.0000e+00	 1.3248e+04	 6.3371e+02	
 1.0000e+00	 1.3312e+04	 6.0141e+02	
 1.0000e+00	 1.3376e+04	 6.0271e+02	
 1.0000e+00	 1.3440e+04	 5.9303e+02	
 1.0000e+00	 1.3504e+04	 6.1449e+02	
 1.0000e+00	 1.3568e+04	 5.9808e+02	
 1.0000e+00	 1.3632e+04	 5.9489e+02	
 1.0000e+00	 1.3696e+04	 6.2460e+02	
 1.0000e+00	 1.3760e+04	 5.9295e+02	
 1.0000e+00	 1.3824e+04	 6.0703e+02	
 1.0000e+00	 1.3888e+04	 6.2913e+02	
 1.0000e+00	 1.3952e+04	 6.1100e+02	
 1.0000e+00	 1.4016e+04	 6.0870e+02	
 1.0000e+00	 1.4080e+04	 5.9778e+02	
 1.0000e+00	 1.4144e+04	 6.1495e+02	
 1.0000e+00	 1.4208e+04	 6.0932e+02	
 1.0000e+00	 1.4272e+04	 6.2284e+02	
 1.0000e+00	 1.4336e+04	 6.0393e+02	
 1.0000e+00	 1.4400e+04	 6.0534e+02	
 1.0000e+00	 1.4464e+04	 5.9907e+02	
 1.0000e+00	 1.4528e+04	 5.9906e+02	
 1.0000e+00	 1.4592e+04	 6.0145e+02	
 1.0000e+00	 1.4656e+04	 6.0054e+02	
 1.0000e+00	 1.4720e+04	 6.3347e+02	
 1.0000e+00	 1.4784e+04	 6.0487e+02	
 1.0000e+00	 1.4848e+04	 5.9709e+02	
 1.0000e+00	 1.4912e+04	 6.0334e+02	
 1.0000e+00	 1.4976e+04	 5.8039e+02	
 1.0000e+00	 1.5040e+04	 6.1474e+02	
 1.0000e+00	 1.5104e+04	 5.9352e+02	
 1.0000e+00	 1.5168e+04	 6.0325e+02	
 1.0000e+00	 1.5232e+04	 5.9025e+02	
 1.0000e+00	 1.5296e+04	 6.1392e+02	
